APSO,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
0,68982.47625,1.24E+13,156110.8268,87.38310305,253640846.1,66770.9,128.7226793,-2141.357434,439.4949857,20.65903484,632.9466471,579031108.5,1166830111,144.455957,0.200804975,1.035750325,2.257858778,72.3075021,-3.265631558,-1.52538294,-0.571607981,-0.665971051,-0.822822791
1,33460.06074,7.90E+08,93182.90284,71.07314128,65498307.24,32713.74,30.55748376,-2280.241776,351.0946446,19.24345165,307.2654624,89418247.18,237783576.6,36.14463984,0.071146212,-0.48581204,1.285847193,15.41979258,-3.509897953,-1.629051159,-0.824215769,-0.870300126,-1.074692829
2,13234.33861,572.7280907,48208.95863,54.23486694,14335789.67,13236.18,7.619851286,-2388.396706,296.0199914,16.60653982,122.4869902,10912710.36,41515748.99,19.90483724,0.037321067,-0.845618141,0.721284454,9.710047229,-3.674687234,-1.949211548,-1.294228822,-1.367996658,-1.480891992
3,11439.90144,528.741993,35133.62951,48.57575735,10482078.3,11568.86,5.542454858,-2465.339795,284.6384322,16.19171107,103.4727396,5458929.005,27106131.28,12.30885413,0.029005776,-0.92285009,0.496554671,7.151966968,-3.74574271,-2.655595842,-1.858786906,-1.827384096,-1.715620683
4,10372.51516,64.18403263,31118.71234,46.19047901,8980044.528,10241.94,4.444636049,-2603.099585,280.5288157,15.6662553,90.28647342,4271144.521,20542380.62,10.4268453,0.021216585,-0.964220008,0.445196732,5.770741545,-3.784601602,-2.902973046,-2.119552677,-2.113253794,-2.022948049
5,8765.119511,53.39739026,28118.7903,43.37089934,6853616.582,8803.32,3.492478325,-2698.979729,274.9512687,15.04433992,73.24686016,2534271.732,14174099.53,9.16457221,0.016447568,-0.994349028,0.436501805,3.496078132,-3.812643037,-3.047362179,-2.489779819,-2.487059742,-2.419897147
6,7706.103994,48.27547843,25744.4085,40.82134935,5128100.652,7897.8,2.881639926,-2794.853756,271.0208014,14.57379451,67.10512827,1446046.917,11353613.11,8.314517622,0.013232639,-1.010505712,0.423758281,3.282335899,-3.831671605,-3.106734643,-3.035188381,-2.948733031,-2.806704511
7,7075.883185,45.01890312,23219.81204,39.17647302,4434798.368,6990.1,2.414301882,-2929.76616,267.5361586,14.25200436,62.68434076,1119594.222,8366972.48,7.706354347,0.008974987,-1.018712499,0.407716313,3.173051546,-3.845069495,-3.157083004,-3.665454056,-3.217015946,-3.193037952
8,6436.613378,40.72475257,21228.89872,38.09011853,3748247.279,6451.96,2.160879506,-3078.614763,265.3648659,13.93805953,56.27354937,888322.8571,6122658.919,7.11512606,0.007540908,-1.021932941,0.402520783,3.102148647,-3.851471252,-3.196911445,-3.995475211,-3.549326084,-3.418199457
9,5914.493788,38.74722339,19823.05607,36.5621787,3288597.32,5872.36,1.776833278,-3228.139783,261.5376539,13.52794342,50.72673899,627712.8648,4712307.729,6.684095889,0.006911616,-1.025202948,0.400270758,3.045184772,-3.858559349,-3.218435352,-4.245377819,-3.805213957,-3.598480268
10,5398.660986,36.93711189,19110.64656,35.7240388,2542599.012,5316.98,1.563140954,-3385.948904,258.5464921,13.17036193,46.30982083,391186.1869,3655232.194,6.297324139,0.006264194,-1.02762239,0.399166215,3.024961622,-3.860489101,-3.233278769,-4.477293054,-3.874728914,-3.86438252
